5.864, 0.06607
5.935, 0.07633
6.007, 0.08752
6.079, 0.09829
6.150, 0.1092
6.222, 0.1203
6.294, 0.1310
6.365, 0.1419
6.437, 0.1529
6.502, 0.1617
6.575, 0.1807
6.619, 0.1916
6.659, 0.2047
6.695, 0.2170
6.735, 0.2297
6.770, 0.2422
6.808, 0.2540
6.842, 0.2661
6.877, 0.2775
6.913, 0.2896
6.952, 0.3020
6.986, 0.3140
7.023, 0.3259
7.057, 0.3375
7.090, 0.3486
7.128, 0.3606
7.162, 0.3726
7.197, 0.3840
7.233, 0.3958
7.272, 0.4081
7.314, 0.4202
7.351, 0.4317
7.390, 0.4427
7.429, 0.4545
7.465, 0.4656
7.505, 0.4773
7.533, 0.4885
7.556, 0.4980
7.672, 0.5263
7.709, 0.5367
7.742, 0.5478
7.781, 0.5590
7.823, 0.5709
7.860, 0.5828
7.898, 0.5939
7.934, 0.6049
7.978, 0.6184
8.026, 0.6304
8.065, 0.6421
8.107, 0.6532
8.149, 0.6647
8.180, 0.6757
8.215, 0.6832
8.263, 0.6987
8.313, 0.7110
8.358, 0.7237
8.393, 0.7347
8.436, 0.7467
8.477, 0.7587
8.516, 0.7703
8.555, 0.7814
8.598, 0.7932
8.655, 0.8057
8.727, 0.8007
8.798, 0.7919
8.870, 0.7832
8.941, 0.7747
9.012, 0.7660
9.084, 0.7574
9.165, 0.7470
9.227, 0.7400
9.298, 0.7313
9.367, 0.7219
9.428, 0.7107
9.490, 0.6995
9.555, 0.6875
9.617, 0.6760
9.678, 0.6646
9.743, 0.6524
9.805, 0.6412
9.866, 0.6297
9.928, 0.6184
9.987, 0.6077
10.04, 0.5968
10.08, 0.5841
10.11, 0.5724
10.14, 0.5607
10.17, 0.5485
10.20, 0.5363
10.23, 0.5247
10.27, 0.5122
10.30, 0.4990
10.33, 0.4870
10.37, 0.4755
10.39, 0.4644
10.42, 0.4527
10.46, 0.4408
10.49, 0.4283
10.52, 0.4162
10.55, 0.4040
10.58, 0.3922
10.62, 0.3800
10.65, 0.3672
10.68, 0.3549
10.72, 0.3429
10.75, 0.3308
10.78, 0.3190
10.82, 0.3068
10.86, 0.2950
10.90, 0.2830
10.94, 0.2709
10.98, 0.2597
11.01, 0.2485
11.05, 0.2365
11.09, 0.2245
11.13, 0.2124
11.17, 0.2007
11.21, 0.1885
11.24, 0.1762
11.28, 0.1646
11.32, 0.1523
11.37, 0.1387
11.41, 0.1266
11.44, 0.1176
